channel,frequency_mhz,rmse_pa,mae_pa,r2
0,1.0,6.289334278017964,4.9348438554889675,0.9999588815328313
1,1.12,7.6649362878089695,6.012685097752953,0.9999624497824493
2,1.25,10.364299045130021,8.136069477243932,0.9999601191768404
3,1.4,14.100537078695583,11.166243147411029,0.9999553403904958
4,1.6,17.910185569385494,14.125127396932475,0.9999550313235471
5,1.8,23.477455984644536,18.481934816692036,0.9999519070720839
6,2.0,39.59262437688333,31.02686691950944,0.9999347079242394
7,2.24,53.1500336915078,41.553990475176334,0.9999215814935524
8,2.5,79.88542503051606,61.982602805752514,0.9998746736408753
9,2.8,150.20095103492346,116.0019147665876,0.9997885275060479
10,3.15,436.29736360321505,324.92759873358233,0.9995725650794941
11,3.55,1401.898239223874,1007.3900616005249,0.9991395903264688
12,4.0,2757.166884798447,1480.131416452356,0.9931122803390111
13,4.5,317.57005633082395,243.90787007835456,0.9994227287211929
14,5.0,273.59821047137484,209.52013714691074,0.9995905284479625
15,5.6,172.5316903069174,132.57210916047111,0.9996260006398945
16,6.3,119.03421709985533,91.99090785300493,0.9995725106242265
17,7.1,91.66906120619389,70.29468754169235,0.9995522672661484
18,8.0,88.64003807985182,67.57383891044007,0.9995292999370659
19,9.0,77.32239953145695,59.28187195188252,0.9996209033167373
20,10.0,64.85138585118072,49.78255862973981,0.9996929306659892
21,11.2,41.119545481504176,31.642187287781873,0.9997383930093863
22,12.5,26.488935815739598,19.947556132458576,0.9994259845244414
