sample_index_in_test,global_index,active_count,active_count_interval,field_rmse_pa,field_mae_pa,field_r2,roi_curve_rmse_pa,roi_curve_mae_pa,high_response_rmse_pa,true_peak_pa,true_peak_freq_mhz,true_center_6db_mhz,true_bandwidth_6db_mhz,true_fbw_6db,pred_peak_pa,abs_err_peak_pa,pred_peak_freq_mhz,abs_err_peak_freq_mhz,pred_center_6db_mhz,abs_err_center_6db_mhz,pred_bandwidth_6db_mhz,abs_err_bandwidth_6db_mhz,pred_fbw_6db,abs_err_fbw_6db
0,4380,2064,1679-2092,547.0274897132343,206.5266636129628,0.9995938867835087,496.8684160605354,164.84641431725544,1504.6971576083658,192728.5,3.55,3.775,0.4500000000000002,0.11920529801324509,190423.078125,2305.421875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
1,1098,2480,2093-2500,147.36036976259294,68.70028179453975,0.9999766188163448,214.56152330440483,102.98298445991848,378.3903944235843,217650.34375,3.55,3.775,0.4500000000000002,0.11920529801324509,218231.921875,581.578125,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
2,1479,108,101-159,153.61476962411024,68.55619494678871,0.9808686083938758,56.325145618100336,32.50165524690048,362.8550366279628,6843.052734375,3.55,3.825,1.35,0.35294117647058826,6759.2529296875,83.7998046875,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
3,3514,1407,1268-1678,531.1155342432199,192.40889234141474,0.9992355981006057,353.36992763518435,187.72365404211956,1492.0771501913327,129033.1015625,3.55,3.775,0.4500000000000002,0.11920529801324509,129889.34375,856.2421875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
4,7494,1742,1679-2092,498.1839024132683,198.8313469418733,0.9995588788784432,363.7236103557847,178.25056258491847,1369.6013862229827,163952.9375,3.55,3.775,0.4500000000000002,0.11920529801324509,163412.8125,540.125,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
5,6075,1213,849-1267,457.90030626197836,180.3583412162449,0.9992432434816207,304.05897746735553,153.74606190557066,1170.8541498836996,108321.96875,3.55,3.775,0.4500000000000002,0.11920529801324509,109431.9921875,1110.0234375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
6,4302,147,101-159,134.80783318007227,64.15445780001102,0.9911477042883973,73.28105241719624,40.306144382642664,289.9164616828099,9395.234375,3.55,3.825,1.35,0.35294117647058826,9404.646484375,9.412109375,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
7,3969,620,428-848,376.90971536002803,158.04299302691584,0.9973320848096248,390.1412069821769,152.8774016007133,982.3761841516281,46366.3984375,4.0,3.575,0.8500000000000001,0.2377622377622378,47316.296875,949.8984375,3.55,0.4500000000000002,3.575,0.0,0.8500000000000001,0.0,0.2377622377622378,0.0
8,7827,806,428-848,460.14213609908484,189.51347588620393,0.9981313817407134,512.7145414345521,218.4771197775136,1274.166217987217,69426.390625,3.55,3.775,0.4500000000000002,0.11920529801324509,67658.6875,1767.703125,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
9,5177,1098,849-1267,597.0163966522414,216.83177426572053,0.998422105856397,931.8757782738437,287.82305112092394,1762.4244773597293,101383.3203125,3.55,3.775,0.4500000000000002,0.11920529801324509,96984.6484375,4398.671875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
10,1671,2369,2093-2500,351.77820162352384,120.45434709472656,0.999859167932771,220.85227828799734,84.30309527853261,930.6365145354628,211147.359375,3.55,3.775,0.4500000000000002,0.11920529801324509,212176.625,1029.265625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
11,6427,2112,2093-2500,667.7413072815283,213.08921507886802,0.9994297951559694,928.1897025001545,304.6785304857337,1959.7277914748597,195240.046875,3.55,3.775,0.4500000000000002,0.11920529801324509,195940.984375,700.9375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
12,3810,845,428-848,491.66858297074015,187.46088295487112,0.9979744798355268,620.5173679366765,209.41469408118206,1381.2915458477964,71051.1328125,3.55,3.575,0.8500000000000001,0.2377622377622378,72097.0078125,1045.875,3.55,0.0,3.775,0.19999999999999973,0.4500000000000002,0.3999999999999999,0.11920529801324509,0.1185569397489927
13,9970,1877,1679-2092,840.1276202968552,272.31529930313775,0.9988471210570496,1075.2647759348356,386.4662449048913,2385.0458871648566,172474.8125,3.55,3.775,0.4500000000000002,0.11920529801324509,175852.578125,3377.765625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
14,8228,2031,1679-2092,1486.8871037063502,369.3043114306906,0.9969437690696222,1227.2371548454428,383.09121306046194,4380.105747794018,185913.140625,3.55,3.775,0.4500000000000002,0.11920529801324509,187819.3125,1906.171875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
15,9213,1738,1679-2092,471.96319738110407,189.76686261994735,0.9995959888401363,406.1509887504676,190.25667671535325,1333.0055162047508,160712.484375,3.55,3.775,0.4500000000000002,0.11920529801324509,162171.484375,1459.0,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
16,8494,189,160-279,168.4445625999324,73.80537389083531,0.9930441334156839,172.26816673895266,84.12095708432405,436.73992471842206,12533.7353515625,3.55,3.825,1.35,0.35294117647058826,12087.8876953125,445.84765625,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
17,7744,2300,2093-2500,629.467751447482,194.4297927877675,0.9995248879279567,805.2909957983829,270.3626762058424,1706.0011576724085,205905.125,3.55,3.775,0.4500000000000002,0.11920529801324509,207756.28125,1851.15625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
18,2501,226,160-279,178.9857275255495,80.47238464870038,0.9939926094141068,131.3933387803991,75.56551460597827,337.94781524072124,14631.0888671875,3.55,3.825,1.35,0.35294117647058826,14334.0166015625,297.072265625,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
19,3566,929,849-1267,606.8644393272294,236.1575194358494,0.9973744715153473,784.9176270475582,317.5744735054348,1735.3958753712964,76796.21875,3.55,3.775,0.4500000000000002,0.11920529801324509,79353.3984375,2557.1796875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
20,5230,2253,2093-2500,453.04651188953125,164.07124209223207,0.9997472397816223,791.3220859467036,277.0659816576087,1248.6867643568887,203316.734375,3.55,3.775,0.4500000000000002,0.11920529801324509,204955.71875,1638.984375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
21,717,2093,2093-2500,3579.6387003457053,776.7647426097041,0.9845314805139496,5601.984959672371,1292.1688179347825,11122.4832534339,190344.140625,3.55,3.775,0.4500000000000002,0.11920529801324509,191687.125,1342.984375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
22,9723,1018,849-1267,665.3489322540305,260.3623516500722,0.9975395669372246,705.2204808769415,316.4919009001359,1888.3419979907703,88468.4375,3.55,3.775,0.4500000000000002,0.11920529801324509,90340.8671875,1872.4296875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
23,7933,1630,1268-1678,583.3242994171949,204.46014756920857,0.9993309949288686,634.4340822203761,234.566162109375,1692.8785178968574,153300.765625,3.55,3.775,0.4500000000000002,0.11920529801324509,151835.890625,1464.875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
24,2866,712,428-848,350.275704299569,153.93326373689072,0.9984210860618092,222.26848034524122,116.82272206182066,810.8868705938323,56027.3046875,3.55,3.575,0.8500000000000001,0.2377622377622378,56469.92578125,442.62109375,3.55,0.0,3.575,0.0,0.8500000000000001,0.0,0.2377622377622378,0.0
25,9002,1521,1268-1678,555.606878880124,213.79512587306812,0.9992862162041456,471.8039130561819,185.34073539402175,1480.8882404489711,142458.8125,3.55,3.775,0.4500000000000002,0.11920529801324509,141386.78125,1072.03125,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
26,8489,959,849-1267,480.71827117027135,196.12230960799508,0.998599304675646,429.48378983393354,192.21895698879075,1219.502174736534,84448.7265625,3.55,3.775,0.4500000000000002,0.11920529801324509,83910.9296875,537.796875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
27,5103,2119,2093-2500,832.4055956475963,254.45944648384426,0.9990962213322888,491.29394568986606,180.22665803328803,2327.486577484448,193747.359375,3.55,3.775,0.4500000000000002,0.11920529801324509,196024.21875,2276.859375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
28,6001,1229,849-1267,608.5011919780839,214.2012147394595,0.9986317203609473,1064.7201535767229,331.41999087126356,1825.1737999405718,107048.921875,3.55,3.775,0.4500000000000002,0.11920529801324509,112064.1328125,5015.2109375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
29,7870,91,0-100,136.81524604528673,65.43100661864074,0.9775456679659715,120.87621679025723,57.669797814410664,323.6581823430677,5773.50830078125,3.55,3.825,1.35,0.35294117647058826,5290.849609375,482.65869140625,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
30,9335,2210,2093-2500,1186.873625812485,277.168649964175,0.9982201091172441,900.3330548661046,287.8211086107337,2978.6959821377413,201831.34375,3.55,3.775,0.4500000000000002,0.11920529801324509,201451.265625,380.078125,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
31,8225,2452,2093-2500,278.8973073227699,103.1251768353006,0.9999148251062285,395.92603426892214,144.84523607336956,796.9356992885411,216347.9375,3.55,3.775,0.4500000000000002,0.11920529801324509,216748.375,400.4375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
32,7302,859,849-1267,424.48506402036867,177.54098848757536,0.9985341439678935,352.9448153394478,158.86263905400816,1096.0550595317097,72522.8125,3.55,3.775,0.4500000000000002,0.11920529801324509,72343.4765625,179.3359375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
33,111,1720,1679-2092,526.1817135782802,198.4493881894319,0.9994905561846064,357.5940194778284,184.10983143682066,1306.6587261545078,160686.546875,3.55,3.775,0.4500000000000002,0.11920529801324509,161581.09375,894.546875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
34,358,676,428-848,435.56543476973997,165.29664293192988,0.9975760963406478,442.93596307181997,178.54244331691575,1180.7942209740156,55963.03125,4.0,3.775,0.4500000000000002,0.11920529801324509,54555.6484375,1407.3828125,3.55,0.4500000000000002,3.575,0.19999999999999973,0.8500000000000001,0.3999999999999999,0.2377622377622378,0.1185569397489927
35,2585,316,280-427,188.12674161572252,88.44639503336367,0.9969190102377005,147.2754365188381,79.03632653277853,436.8901157316711,21875.65234375,4.0,3.825,1.35,0.35294117647058826,21882.28515625,6.6328125,3.55,0.4500000000000002,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
36,3217,2219,2093-2500,1209.963759195185,296.909180708114,0.9982533456771076,1735.0161866792632,418.7789147418478,3462.7340536389643,201960.9375,3.55,3.775,0.4500000000000002,0.11920529801324509,201746.4375,214.5,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
37,1710,1633,1268-1678,527.8803610076724,210.32925226427162,0.999417789637375,613.5722691924228,268.07763671875,1362.784680039604,150862.75,3.55,3.775,0.4500000000000002,0.11920529801324509,152505.765625,1643.015625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
38,1090,2106,2093-2500,1069.6207000763793,291.8845429820185,0.9985413628879559,1446.5636190956209,439.63997749660325,3192.153321993252,195673.421875,3.55,3.775,0.4500000000000002,0.11920529801324509,193617.265625,2056.15625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
39,6034,1932,1679-2092,625.3403208970417,210.10058979306427,0.9994065909729716,401.22224554762397,170.74271824048913,1619.48349322628,179935.859375,3.55,3.775,0.4500000000000002,0.11920529801324509,179758.265625,177.59375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
40,4644,1250,849-1267,553.7528471787657,241.1689869873047,0.9989351673937374,599.7169000284781,263.5830184273098,1519.6057954920823,113256.1015625,3.55,3.775,0.4500000000000002,0.11920529801324509,114092.640625,836.5390625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
41,5287,591,428-848,286.6611045798133,130.03219545288087,0.9984307830357657,379.44335927384896,173.52772322944972,745.5868103695867,45738.078125,3.55,3.575,0.8500000000000001,0.2377622377622378,44805.25390625,932.82421875,3.55,0.0,3.575,0.0,0.8500000000000001,0.0,0.2377622377622378,0.0
42,5494,1714,1679-2092,754.4266783615552,242.40495477347997,0.9989630815005343,337.014026113055,163.67463485054347,2125.231186417229,161426.203125,3.55,3.775,0.4500000000000002,0.11920529801324509,160536.546875,889.65625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
43,9131,533,428-848,495.61388850568034,198.9395563885896,0.9939112254527059,662.5858868766894,276.4736965013587,1362.6736926090764,42456.03515625,3.55,3.575,0.8500000000000001,0.2377622377622378,40151.21875,2304.81640625,3.55,0.0,3.575,0.0,0.8500000000000001,0.0,0.2377622377622378,0.0
44,5849,2428,2093-2500,223.16680581876133,89.8276849938434,0.999944944870575,163.1204892002141,75.83543860394022,564.7603878520043,214858.359375,3.55,3.775,0.4500000000000002,0.11920529801324509,215317.78125,459.421875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
45,8035,1793,1679-2092,535.311956540398,216.4453956322048,0.9995262297843481,911.3170905823497,344.3378587805706,1566.288740207795,171394.703125,3.55,3.775,0.4500000000000002,0.11920529801324509,167609.875,3784.828125,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
46,4199,2275,2093-2500,1550.6364165579193,351.00598520454736,0.9972045422434435,648.8078616084201,201.18892238451087,4434.591583429864,206548.578125,3.55,3.775,0.4500000000000002,0.11920529801324509,206310.578125,238.0,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
47,9276,1572,1268-1678,512.759782477311,210.2546469784944,0.9994432908032396,770.7856338265007,319.380615234375,1474.5805794414923,150132.390625,3.55,3.775,0.4500000000000002,0.11920529801324509,146931.125,3201.265625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
48,6186,1877,1679-2092,1145.449187003319,285.77100666795815,0.9978613756152505,1782.874899527284,436.2872473675272,3262.076693363146,174725.125,3.55,3.775,0.4500000000000002,0.11920529801324509,174671.8125,53.3125,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
49,9919,1736,1679-2092,861.4651653312503,288.6199859268852,0.9987264842423179,1273.0500489744559,383.38973335597825,2627.488098970153,168410.34375,3.55,3.775,0.4500000000000002,0.11920529801324509,162440.1875,5970.15625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
